<PAD>	0
<NUL>	1
情	2
考	3
承	4
达	5
片	6
话	7
I	8
让	9
游	10
宝	11
右	12
美	13
豪	14
五	15
第	16
育	17
哪	18
福	19
世	20
台	21
升	22
看	23
标	24
相	25
浪	26
立	27
孪	28
中	29
壮	30
获	31
形	32
域	33
未	34
）	35
镇	36
谋	37
或	38
决	39
雨	40
北	41
举	42
抓	43
传	44
煤	45
讯	46
则	47
段	48
志	49
公	50
村	51
快	52
砂	53
挝	54
齐	55
垃	56
先	57
修	58
把	59
疗	60
汛	61
读	62
税	63
组	64
切	65
仓	66
院	67
砻	68
加	69
后	70
圾	71
塑	72
优	73
天	74
光	75
妨	76
七	77
浅	78
应	79
刚	80
沙	81
调	82
敏	83
遏	84
诉	85
渐	86
输	87
观	88
典	89
贡	90
亮	91
安	92
辖	93
迁	94
周	95
层	96
别	97
察	98
净	99
栖	100
…	101
康	102
’	103
冬	104
耗	105
填	106
性	107
钢	108
道	109
示	110
书	111
号	112
强	113
础	114
须	115
打	116
偿	117
‘	118
材	119
四	120
Q	121
功	122
贵	123
氛	124
果	125
责	126
素	127
母	128
除	129
交	130
单	131
4	132
审	133
竣	134
党	135
%	136
虑	137
间	138
演	139
磁	140
总	141
财	142
苗	143
各	144
此	145
成	146
《	147
1	148
渗	149
签	150
走	151
黄	152
温	153
)	154
项	155
绕	156
票	157
蓝	158
射	159
黔	160
S	161
省	162
励	163
·	164
搬	165
候	166
微	167
明	168
购	169
择	170
领	171
激	172
活	173
启	174
临	175
滞	176
算	177
稿	178
岸	179
久	180
压	181
速	182
众	183
筹	184
良	185
干	186
延	187
；	188
我	189
队	190
该	191
降	192
仿	193
石	194
计	195
卫	196
主	197
实	198
坡	199
落	200
销	201
均	202
署	203
狠	204
竞	205
集	206
巴	207
退	208
积	209
合	210
投	211
点	212
格	213
赤	214
、	215
深	216
蔚	217
湾	218
泥	219
跃	220
付	221
”	222
的	223
植	224
野	225
妥	226
也	227
新	228
创	229
没	230
倍	231
指	232
追	233
屋	234
这	235
必	236
档	237
批	238
撑	239
力	240
离	241
份	242
废	243
船	244
避	245
凉	246
提	247
申	248
聚	249
十	250
共	251
全	252
漏	253
宜	254
基	255
雄	256
再	257
畴	258
配	259
评	260
常	261
吸	262
难	263
式	264
靠	265
塞	266
乌	267
A	268
析	269
隐	270
空	271
求	272
奖	273
言	274
部	275
牢	276
丰	277
密	278
俗	279
努	280
近	281
艺	282
